unigram,sum,frequency,mean
lipitor,9.0,1,9.0
medallion,27.599999999999998,3,9.2
nosh,15.899999999999999,2,7.949999999999999
fall,147.79999999999998,17,8.694117647058823
terrarium,9.2,1,9.2
veg,133.0,15,8.866666666666667
wsp,6.8,1,6.8
reception,9.2,1,9.2
spinacus,16.2,2,8.1
overly,78.00000000000001,9,8.666666666666668
japonais,8.6,1,8.6
moss,15.899999999999999,2,7.949999999999999
apathetic,6.8,1,6.8
sadly,53.8,6,8.966666666666667
scatter,8.3,1,8.3
contemporary,9.1,1,9.1
some,2809.6999999999953,326,8.618711656441704
taqueria,44.3,5,8.86
abrupt,7.6,1,7.6
immitate,9.4,1,9.4
mistaken,8.8,1,8.8
talde,17.0,2,8.5
veggy,239.09999999999994,27,8.855555555555553
exotic,78.3,9,8.7
present,18.4,2,9.2
mapo,36.800000000000004,4,9.200000000000001
across,259.59999999999997,30,8.653333333333332
nutella,185.49999999999994,22,8.43181818181818
billiards,9.4,1,9.4
crown,18.4,2,9.2
haber,16.2,2,8.1
afternoon,197.79999999999998,23,8.6
liking,53.4,6,8.9
musar,9.4,1,9.4
copetta,9.1,1,9.1
death,18.6,2,9.3
creation,114.8,13,8.830769230769231
unremarkable,9.1,1,9.1
numbing,9.3,1,9.3
competition,32.9,4,8.225
smallish,18.1,2,9.05
dax,28.200000000000003,3,9.4
contrary,9.1,1,9.1
freshness,9.1,1,9.1
constant,9.2,1,9.2
chunky,17.5,2,8.75
sophie,8.7,1,8.7
thingy,17.6,2,8.8
hawaiian,8.1,1,8.1
difficult,35.2,4,8.8
sayin,7.5,1,7.5
ansari,8.7,1,8.7
macaroni,52.900000000000006,6,8.816666666666668
nutmeg,18.0,2,9.0
kawaii,9.1,1,9.1
dutch,27.099999999999998,3,9.033333333333333
distasteful,8.1,1,8.1
avg,9.4,1,9.4
grad,9.2,1,9.2
katsukare,8.8,1,8.8
kid,442.3000000000001,52,8.505769230769234
cutter,9.2,1,9.2
yemekleri,9.1,1,9.1
cracker,9.4,1,9.4
passion,127.79999999999998,15,8.52
secondmarket,9.1,1,9.1
thumb,84.2,10,8.42
round,143.6,17,8.447058823529412
kittichai,9.1,1,9.1
relief,9.4,1,9.4
milder,14.0,2,7.0
resto,9.1,1,9.1
ushi,8.8,1,8.8
serve,2391.399999999989,270,8.857037037036998
decor,281.7999999999999,33,8.539393939393936
batter,53.3,6,8.883333333333333
insert,18.1,2,9.05
tatakus,8.8,1,8.8
style,861.8000000000002,98,8.79387755102041
cortado,317.9999999999999,36,8.83333333333333
son,109.80000000000001,12,9.15
skim,48.7,6,8.116666666666667
kenneth,8.7,1,8.7
everrrr,9.1,1,9.1
sherbet,27.5,3,9.166666666666666
clutch,35.5,4,8.875
provamos,9.2,1,9.2
very,72720.70000000056,8007,9.082140626951489
habit,16.6,2,8.3
forgettable,7.2,1,7.2
paradis,8.6,1,8.6
deli,83.4,10,8.34
tepid,7.6,1,7.6
sleep,51.099999999999994,6,8.516666666666666
find,1092.500000000001,129,8.468992248062023
bookend,7.1,1,7.1
saluden,9.4,1,9.4
madewell,6.8,1,6.8
page,18.2,2,9.1
attach,9.4,1,9.4
meaty,17.9,2,8.95
max,240.10000000000002,27,8.892592592592594
yok,9.0,1,9.0
crunchwrap,13.0,2,6.5
immer,9.0,1,9.0
snooty,8.5,1,8.5
exception,9.1,1,9.1
mobile,7.8,1,7.8
bright,136.2,16,8.5125
locker,16.2,2,8.1
wedding,26.9,3,8.966666666666667
cafee,8.3,1,8.3
arnie,8.7,1,8.7
enfin,7.8,1,7.8
mmm,148.89999999999998,17,8.758823529411764
vajay,8.8,1,8.8
charade,6.9,1,6.9
infinitely,8.9,1,8.9
perfect,71181.00000000131,7812,9.1117511520739
bypasser,6.8,1,6.8
cube,30.799999999999997,4,7.699999999999999
toros,132.40000000000003,15,8.82666666666667
schmear,8.0,1,8.0
annoyingly,9.4,1,9.4
lemonade,307.3999999999999,36,8.538888888888886
obolon,9.1,1,9.1
ricardo,8.7,1,8.7
custo,9.1,1,9.1
lively,142.0,16,8.875
serio,9.1,1,9.1
sweetheart,30.8,4,7.7
worker,24.3,3,8.1
restaff,9.4,1,9.4
playlist,71.00000000000001,8,8.875000000000002
virtual,32.8,4,8.2
omnivore,8.7,1,8.7
donate,16.3,2,8.15
pichet,27.299999999999997,3,9.1
atmosphere,1455.3000000000036,169,8.611242603550316
grandma,36.4,4,9.1
entradas,9.4,1,9.4
drinking,99.30000000000001,11,9.02727272727273
feta,52.1,6,8.683333333333334
sierra,22.2,3,7.3999999999999995
udon,192.9,22,8.768181818181818
tatsuta,17.2,2,8.6
kathleen,9.1,1,9.1
apply,58.7,7,8.385714285714286
thoroughly,9.4,1,9.4
quote,26.300000000000004,3,8.766666666666667
aconseja,9.4,1,9.4
cob,33.8,4,8.45
frat,37.3,5,7.459999999999999
hibernation,9.0,1,9.0
vir,9.0,1,9.0
prik,29.2,4,7.3
space,843.4000000000003,100,8.434000000000003
kebob,18.1,2,9.05
boarshead,15.2,2,7.6
campus,58.0,7,8.285714285714286
melty,16.6,2,8.3
yuki,18.8,2,9.4
inconceivably,9.1,1,9.1
linger,15.6,2,7.8
junot,18.6,2,9.3
machiato,23.299999999999997,3,7.766666666666666
reem,9.0,1,9.0
act,46.9,6,7.816666666666666
largest,22.7,3,7.566666666666666
mille,102.19999999999999,11,9.29090909090909
amber,8.1,1,8.1
plain,248.6999999999999,29,8.575862068965513
hpw,9.4,1,9.4
yummers,8.9,1,8.9
unofficial,6.8,1,6.8
zucchini,90.1,10,9.01
tuesday,102.39999999999999,13,7.8769230769230765
littlething,7.6,1,7.6
omlette,18.2,2,9.1
steaklar,8.1,1,8.1
des,7.1,1,7.1
sampling,18.3,2,9.15
indiana,9.2,1,9.2
madre,8.2,1,8.2
starchy,9.2,1,9.2
shaped,26.7,3,8.9
ive,34.5,4,8.625
hakamen,9.4,1,9.4
lip,33.2,4,8.3
otra,9.4,1,9.4
ample,18.2,2,9.1
scallop,214.39999999999998,24,8.933333333333332
waaaay,9.4,1,9.4
squirt,9.0,1,9.0
top,1333.1000000000006,151,8.828476821192057
golden,224.69999999999993,25,8.987999999999998
tgif,9.1,1,9.1
bot,6.8,1,6.8
melbourne,17.9,2,8.95
viva,15.7,2,7.85
complicated,16.9,2,8.45
frontega,6.8,1,6.8
kaidame,9.4,1,9.4
akamiso,9.4,1,9.4
tater,63.8,9,7.088888888888889
indifferent,25.5,3,8.5
rejeki,9.0,1,9.0
overmarinate,8.1,1,8.1
clandestine,9.4,1,9.4
parmesan,67.4,8,8.425
cikular,9.0,1,9.0
softer,36.5,4,9.125
professional,33.4,4,8.35
postres,9.2,1,9.2
kruveet,45.5,5,9.1
viejo,18.4,2,9.2
excruciate,6.9,1,6.9
ram,16.6,2,8.3
rib,544.5000000000003,62,8.782258064516135
exclusively,9.0,1,9.0
wife,64.2,7,9.171428571428573
picante,17.2,2,8.6
gordita,22.4,3,7.466666666666666
laundromat,8.2,1,8.2
atop,9.4,1,9.4
wheat,155.49999999999997,19,8.184210526315788
insofar,16.1,2,8.05
catchy,8.7,1,8.7
lugar,133.89999999999998,15,8.926666666666666
states,18.4,2,9.2
quicker,23.5,3,7.833333333333333
absolutely,556.3000000000001,64,8.692187500000001
enter,79.30000000000001,9,8.811111111111112
tipsy,9.0,1,9.0
pinot,16.299999999999997,2,8.149999999999999
kaasan,18.0,2,9.0
customer,396.9000000000001,48,8.268750000000002
maracuya,9.1,1,9.1
spekuloo,16.9,2,8.45
apparently,97.1,11,8.827272727272726
gindara,9.4,1,9.4
result,16.0,2,8.0
mantarli,9.2,1,9.2
centric,8.6,1,8.6
cheapppp,8.5,1,8.5
like,212527.7999999802,23329,9.110026147712297
saam,18.8,2,9.4
magnificent,44.4,5,8.879999999999999
sky,9.0,1,9.0
oleh,9.4,1,9.4
dari,9.4,1,9.4
focaccia,9.1,1,9.1
freeze,56.70000000000001,7,8.100000000000001
playful,16.3,2,8.15
twenty,6.8,1,6.8
sharpee,8.9,1,8.9
stairwell,9.4,1,9.4
hermosa,9.0,1,9.0
alone,144.89999999999998,16,9.056249999999999
fewer,26.9,3,8.966666666666667
viewable,7.7,1,7.7
grind,26.4,3,8.799999999999999
inus,6.8,1,6.8
game,278.8,35,7.965714285714286
patiently,9.4,1,9.4
speckaloo,9.1,1,9.1
chew,42.8,5,8.559999999999999
soba,773.1000000000008,89,8.686516853932593
plus,563.4000000000003,65,8.667692307692313
ragu,82.0,9,9.11111111111111
recall,8.7,1,8.7
ippudo,69796.90000000142,7651,9.122585282969732
points,9.1,1,9.1
stress,25.6,3,8.533333333333333
jacques,9.0,1,9.0
robust,9.1,1,9.1
booooom,9.2,1,9.2
yankees,7.2,1,7.2
woooowww,8.9,1,8.9
nuf,9.1,1,9.1
bracket,9.1,1,9.1
program,25.4,3,8.466666666666667
chipoltle,9.1,1,9.1
scotch,18.299999999999997,2,9.149999999999999
vejateryan,9.1,1,9.1
after,1571.299999999999,185,8.49351351351351
ago,76.7,9,8.522222222222222
wireless,42.0,5,8.4
airier,8.7,1,8.7
caffeine,59.39999999999999,7,8.485714285714284
klhoe,9.1,1,9.1
currently,60.5,7,8.642857142857142
note,136.89999999999998,16,8.556249999999999
proscuitto,14.899999999999999,2,7.449999999999999
clea,7.2,1,7.2
tek,9.4,1,9.4
famed,9.1,1,9.1
thump,9.0,1,9.0
enchilada,21.4,3,7.133333333333333
bargain,7.5,1,7.5
gracefully,7.6,1,7.6
unhurried,9.1,1,9.1
distance,13.3,2,6.65
eel,81.50000000000001,9,9.055555555555557
unf,8.9,1,8.9
enlighten,9.2,1,9.2
active,6.8,1,6.8
kalo,9.0,1,9.0
rank,27.800000000000004,3,9.266666666666667
moonen,9.4,1,9.4
shhooottttt,7.2,1,7.2
scrapple,9.4,1,9.4
omelet,26.9,3,8.966666666666667
route,8.6,1,8.6
puede,6.8,1,6.8
savor,53.60000000000001,6,8.933333333333335
pearnoid,9.4,1,9.4
midwestern,9.1,1,9.1
italy,96.99999999999999,11,8.818181818181817
ummmm,9.1,1,9.1
luxe,9.1,1,9.1
cop,6.6,1,6.6
foe,7.2,1,7.2
illegal,9.0,1,9.0
chimichangas,6.6,1,6.6
cycle,18.2,2,9.1
closing,43.2,5,8.64
pleasant,121.1,14,8.65
estupendo,9.2,1,9.2
superbowl,13.8,2,6.9
fixed,9.2,1,9.2
abierto,9.1,1,9.1
dada,8.2,1,8.2
wolaver,7.8,1,7.8
simpatico,6.9,1,6.9
banyak,9.4,1,9.4
marys,6.9,1,6.9
caper,42.7,5,8.540000000000001
nicoise,55.2,6,9.200000000000001
chip,995.700000000001,115,8.658260869565225
faithfully,8.4,1,8.4
chia,86.4,10,8.64
tapioca,24.1,3,8.033333333333333
lotta,18.6,2,9.3
enfe,9.4,1,9.4
communal,78.0,9,8.666666666666666
ghostride,8.9,1,8.9
underside,7.5,1,7.5
wary,8.8,1,8.8
computer,39.1,5,7.82
saganaki,16.0,2,8.0
visita,18.5,2,9.25
ail,8.0,1,8.0
mass,9.0,1,9.0
heladonegro,9.2,1,9.2
delcious,8.7,1,8.7
monday,202.59999999999994,27,7.503703703703701
totto,65.0,7,9.285714285714286
mauvais,9.1,1,9.1
confit,8.7,1,8.7
macaronis,16.6,2,8.3
back,2066.4000000000005,238,8.682352941176473
plead,7.5,1,7.5
welcome,179.9,21,8.566666666666666
etc,42.599999999999994,5,8.52
matchmaking,9.0,1,9.0
psychedelic,15.899999999999999,2,7.949999999999999
casey,26.6,3,8.866666666666667
incrible,7.3,1,7.3
luck,75.7,9,8.411111111111111
intel,9.1,1,9.1
basketball,7.5,1,7.5
glaze,43.9,5,8.78
outside,434.6,50,8.692
caunt,9.0,1,9.0
shaker,18.4,2,9.2
macaron,222.9999999999999,25,8.919999999999995
shared,18.5,2,9.25
fried,798.1000000000007,92,8.675000000000008
wei,8.7,1,8.7
rihaku,9.4,1,9.4
recommend,1474.2000000000005,168,8.775000000000002
undo,8.9,1,8.9
london,16.8,2,8.4
celiac,8.7,1,8.7
hefty,9.0,1,9.0
arbor,9.1,1,9.1
labneh,9.4,1,9.4
fajita,27.4,4,6.85
dog,278.19999999999993,32,8.693749999999998
cocktail,984.2000000000008,111,8.866666666666674
mercury,9.4,1,9.4
average,312.8,37,8.454054054054055
falafal,8.7,1,8.7
profile,18.4,2,9.2
dope,143.5,17,8.441176470588236
taco,1998.4000000000049,236,8.467796610169513
intersection,22.3,3,7.433333333333334
shishedo,9.3,1,9.3
barman,9.0,1,9.0
sunrise,8.5,1,8.5
lambrusco,18.2,2,9.1
reuben,43.7,5,8.74
ese,9.4,1,9.4
nigiri,9.4,1,9.4
pom,9.4,1,9.4
kaedama,47.0,5,9.4
below,54.9,6,9.15
harmony,17.299999999999997,2,8.649999999999999
burbone,7.2,1,7.2
baller,24.200000000000003,3,8.066666666666668
wafels,6.8,1,6.8
sundays,63.7,8,7.9625
peppers,37.1,4,9.275
russian,99.09999999999998,11,9.009090909090908
unadon,8.6,1,8.6
wine,1265.4000000000024,143,8.848951048951065
delish,570.9000000000003,66,8.650000000000006
tajine,43.5,5,8.7
transpose,8.7,1,8.7
mail,7.7,1,7.7
burguer,22.8,3,7.6000000000000005
battered,9.0,1,9.0
smother,35.3,4,8.825
yorkers,35.699999999999996,4,8.924999999999999
tank,25.2,3,8.4
flatbread,83.10000000000001,10,8.31
mal,9.0,1,9.0
apaixonado,18.0,2,9.0
guarniciones,9.0,1,9.0
review,190.6,22,8.663636363636364
regiano,6.9,1,6.9
ohio,9.1,1,9.1
lincecup,8.9,1,8.9
speculoos,7.8,1,7.8
all,142849.60000000265,15692,9.103339281162546
bathroom,637.5000000000002,81,7.870370370370373
calamarus,18.2,2,9.1
attention,76.0,9,8.444444444444445
neopolitan,8.7,1,8.7
cheeseburger,102.49999999999997,12,8.541666666666664
chops,8.5,1,8.5
popularity,8.0,1,8.0
girlfriend,31.8,4,7.95
tech,18.0,2,9.0
insider,37.2,4,9.3
prominently,6.2,1,6.2
swag,6.5,1,6.5
layback,8.6,1,8.6
yea,27.3,3,9.1
nevicava,9.1,1,9.1
apetizer,9.4,1,9.4
jonathan,8.6,1,8.6
remodeling,9.1,1,9.1
delerium,6.5,1,6.5
broadway,15.399999999999999,2,7.699999999999999
environment,191.7,23,8.334782608695651
graffitus,16.6,2,8.3
yevoli,9.0,1,9.0
genitals,8.8,1,8.8
cornbread,34.5,4,8.625
siracha,8.0,1,8.0
dispuesto,9.0,1,9.0
ajitama,43.5,5,8.7
main,182.39999999999998,21,8.685714285714285
marbled,7.2,1,7.2
hybrid,8.7,1,8.7
kbbq,8.6,1,8.6
latex,6.9,1,6.9
buzzfeed,9.1,1,9.1
competitor,17.4,2,8.7
seasoned,97.59999999999998,11,8.872727272727271
smile,111.39999999999999,14,7.957142857142856
chicpea,9.2,1,9.2
gruyere,61.3,7,8.757142857142856
storefront,9.2,1,9.2
skinless,8.8,1,8.8
emmm,9.0,1,9.0
ammmaaaazing,9.2,1,9.2
stuff,688.6000000000005,78,8.828205128205134
complaint,34.8,4,8.7
overdose,9.1,1,9.1
accidental,9.0,1,9.0
orange,239.29999999999995,27,8.86296296296296
studious,7.5,1,7.5
wax,8.7,1,8.7
apt,24.4,3,8.133333333333333
facial,16.6,2,8.3
layered,25.3,3,8.433333333333334
romance,9.4,1,9.4
mayhem,22.299999999999997,3,7.433333333333333
maguro,27.5,3,9.166666666666666
avenue,9.1,1,9.1
mellow,22.6,3,7.533333333333334
piscatorial,9.1,1,9.1
tropical,8.2,1,8.2
bolo,9.2,1,9.2
nango,9.0,1,9.0
unmarked,8.6,1,8.6
pueblo,18.4,2,9.2
don,280.79999999999995,32,8.774999999999999
reservation,69936.70000000145,7668,9.120592070944372
recomiendo,24.8,3,8.266666666666667
juice,398.2999999999999,46,8.658695652173911
adult,77.5,9,8.61111111111111
milanesa,24.599999999999998,3,8.2
frappucino,13.399999999999999,2,6.699999999999999
noob,18.200000000000003,2,9.100000000000001
sorry,189.39999999999995,22,8.609090909090908
dynamite,8.4,1,8.4
marmalade,9.1,1,9.1
activity,27.5,3,9.166666666666666
topic,8.6,1,8.6
colorful,9.1,1,9.1
firework,9.4,1,9.4
mermaid,6.5,1,6.5
harvest,181.99999999999994,20,9.099999999999998
whatev,8.2,1,8.2
borscht,764.4000000000011,84,9.100000000000014
point,523.9000000000001,61,8.588524590163935
string,99.9,11,9.081818181818182
essence,27.4,3,9.133333333333333
culinary,64.3,7,9.185714285714285
slammy,9.0,1,9.0
mex,26.700000000000003,3,8.9
cesar,36.0,4,9.0
avo,8.6,1,8.6
veal,71.2,8,8.9
cole,17.4,2,8.7
marco,17.4,2,8.7
cheritea,15.0,2,7.5
housemade,25.8,3,8.6
gint,6.5,1,6.5
level,262.79999999999995,30,8.759999999999998
rancheros,54.8,6,9.133333333333333
judge,33.3,4,8.325
knick,16.2,2,8.1
macaroon,140.39999999999998,16,8.774999999999999
wooden,42.0,5,8.4
sonoma,8.6,1,8.6
plentiful,51.9,6,8.65
swear,43.0,5,8.6
aussies,7.2,1,7.2
pimenta,9.3,1,9.3
bake,18.2,2,9.1
shorter,37.3,4,9.325
concentrated,9.0,1,9.0
calamansi,9.1,1,9.1
biter,8.2,1,8.2
meticulous,7.5,1,7.5
aka,102.8,12,8.566666666666666
grito,9.4,1,9.4
rubio,8.7,1,8.7
abominable,7.8,1,7.8
fudgey,8.3,1,8.3
whimsy,7.7,1,7.7
fue,8.8,1,8.8
irish,21.1,3,7.033333333333334
coffice,8.9,1,8.9
luscious,9.2,1,9.2
nori,17.9,2,8.95
ingeniously,9.2,1,9.2
punch,113.3,13,8.715384615384615
brunchtastic,9.0,1,9.0
thimble,8.9,1,8.9
homeless,14.9,2,7.45
being,9.1,1,9.1
admire,18.4,2,9.2
que,213.69999999999996,24,8.904166666666665
delicieux,7.8,1,7.8
canada,8.5,1,8.5
change,445.7000000000001,52,8.571153846153848
ameen,8.7,1,8.7
fruition,8.7,1,8.7
item,465.8000000000002,53,8.788679245283022
steamer,7.5,1,7.5
yay,53.699999999999996,7,7.671428571428571
vegano,9.2,1,9.2
mouthfeel,9.2,1,9.2
shigemi,18.8,2,9.4
steakhouse,48.6,6,8.1
tess,6.8,1,6.8
which,1064.800000000001,122,8.727868852459025
parece,18.0,2,9.0
portabella,17.799999999999997,2,8.899999999999999
disappointed,143.79999999999998,16,8.987499999999999
stressful,7.5,1,7.5
enough,765.1000000000007,88,8.69431818181819
balsamic,54.5,7,7.785714285714286
knowledgeable,43.9,5,8.78
citywide,9.1,1,9.1
gateway,6.8,1,6.8
got,133.2,15,8.879999999999999
matador,9.0,1,9.0
retroactive,8.1,1,8.1
pasture,8.0,1,8.0
nigori,55.699999999999996,6,9.283333333333333
tween,6.8,1,6.8
vibes,92.10000000000001,11,8.372727272727273
gummus,9.0,1,9.0
report,6.8,1,6.8
previous,17.9,2,8.95
mag,17.799999999999997,2,8.899999999999999
taiwanese,43.900000000000006,5,8.780000000000001
mediterrenean,9.0,1,9.0
defiantly,18.6,2,9.3
unable,16.6,2,8.3
brainer,9.2,1,9.2
minicup,8.8,1,8.8
spiciest,8.9,1,8.9
kfc,6.9,1,6.9
yotsumi,8.5,1,8.5
pricy,135.70000000000002,16,8.481250000000001
japanesr,8.7,1,8.7
beranaise,9.1,1,9.1
granola,113.6,13,8.738461538461538
football,40.7,6,6.783333333333334
lao,9.1,1,9.1
concept,217.39999999999992,27,8.051851851851849
agar,8.7,1,8.7
solid,865.9000000000009,101,8.573267326732681
disappointment,62.0,7,8.857142857142858
white,979.7000000000011,113,8.669911504424789
faaar,9.1,1,9.1
rotation,8.2,1,8.2
benton,28.200000000000003,3,9.4
case,70.4,8,8.8
stockholm,8.1,1,8.1
boozy,44.5,5,8.9
convenient,25.900000000000002,3,8.633333333333335
successfully,18.1,2,9.05
sirloin,53.099999999999994,6,8.85
teddy,7.8,1,7.8
gun,18.8,2,9.4
precious,9.4,1,9.4
soon,141.3,16,8.83125
coquille,9.2,1,9.2
how,1051.8000000000009,123,8.551219512195129
midtown,45.400000000000006,5,9.080000000000002
choy,35.7,4,8.925
hers,9.2,1,9.2
gift,80.89999999999999,9,8.988888888888887
germans,8.1,1,8.1
float,62.900000000000006,7,8.985714285714286
ayirtip,9.0,1,9.0
convection,8.7,1,8.7
pepperoni,147.89999999999998,17,8.7
flip,17.0,2,8.5
java,37.1,5,7.42
minestrone,8.1,1,8.1
wolfffffff,7.2,1,7.2
head,278.9,33,8.451515151515151
syringe,27.0,3,9.0
ahem,6.5,1,6.5
hire,8.9,1,8.9
philly,119.69999999999999,13,9.207692307692307
romantic,107.00000000000001,12,8.916666666666668
distraction,16.2,2,8.1
manager,179.6,22,8.163636363636364
joke,116.30000000000001,13,8.946153846153846
unbelievably,62.6,7,8.942857142857143
eco,17.2,2,8.6
shiramuru,9.4,1,9.4
koren,8.7,1,8.7
restock,6.6,1,6.6
bien,8.8,1,8.8
beste,7.1,1,7.1
confusion,17.1,2,8.55
newspaper,14.3,2,7.15
temper,16.6,2,8.3
volcano,73.3,9,8.144444444444444
travel,53.0,6,8.833333333333334
smalls,9.1,1,9.1
gristedes,8.5,1,8.5
reserve,90.30000000000001,10,9.030000000000001
whack,27.0,3,9.0
producer,8.6,1,8.6
icey,9.2,1,9.2
avacado,17.6,2,8.8
okinomyaki,8.6,1,8.6
pizzaria,18.1,2,9.05
indulgent,8.6,1,8.6
commitment,9.1,1,9.1
versatile,27.2,3,9.066666666666666
bell,70.4,10,7.040000000000001
hop,43.6,5,8.72
brazen,15.0,2,7.5
chimichanga,42.800000000000004,6,7.133333333333334
yamazaki,18.8,2,9.4
burned,9.1,1,9.1
tasteless,24.7,3,8.233333333333333
khao,21.9,3,7.3
venture,6.9,1,6.9
squad,9.1,1,9.1
badu,9.2,1,9.2
buyback,13.0,2,6.5
martin,16.3,2,8.15
vitamin,9.0,1,9.0
watch,809.7000000000006,101,8.016831683168324
nation,6.5,1,6.5
adjust,40.7,5,8.14
strong,432.5999999999998,50,8.651999999999996
lout,8.8,1,8.8
akumaru,47.0,5,9.4
tune,13.7,2,6.85
amei,9.0,1,9.0
circle,17.7,2,8.85
inexorable,9.1,1,9.1
view,70.0,8,8.75
red,868.9000000000009,100,8.689000000000009
blitz,18.2,2,9.1
disaster,8.5,1,8.5
limited,111.89999999999999,13,8.607692307692307
kanus,9.4,1,9.4
fresher,33.3,4,8.325
entree,349.19999999999976,40,8.729999999999993
gulf,9.2,1,9.2
indiewall,7.8,1,7.8
capres,9.1,1,9.1
tiago,8.7,1,8.7
themey,8.2,1,8.2
journalism,7.1,1,7.1
lowbrow,9.1,1,9.1
much,1603.7000000000007,185,8.668648648648652
savvy,9.2,1,9.2
boom,46.1,5,9.22
anti,25.1,3,8.366666666666667
legs,17.2,2,8.6
bradshaw,17.799999999999997,2,8.899999999999999
fussili,8.1,1,8.1
slather,27.1,3,9.033333333333333
mountain,48.9,6,8.15
fountain,27.4,3,9.133333333333333
tomatos,7.8,1,7.8
severely,16.4,2,8.2
med,14.4,2,7.2
kha,9.1,1,9.1
entirely,17.2,2,8.6
expertly,27.099999999999998,3,9.033333333333333
beneath,25.0,3,8.333333333333334
piece,251.79999999999998,29,8.682758620689654
bakes,9.2,1,9.2
proof,18.0,2,9.0
thickness,9.4,1,9.4
fryer,15.7,2,7.85
opentable,45.1,5,9.02
sleeper,26.9,3,8.966666666666667
easy,260.9,30,8.696666666666665
thematic,9.2,1,9.2
straight,201.79999999999995,23,8.77391304347826
relaunch,8.9,1,8.9
intensely,9.2,1,9.2
address,14.9,2,7.45
bangin,52.7,6,8.783333333333333
sed,9.1,1,9.1
sazerac,18.4,2,9.2
tex,8.2,1,8.2
firmer,9.4,1,9.4
minus,56.400000000000006,7,8.057142857142859
stravaganza,9.4,1,9.4
gusto,9.1,1,9.1
nearest,9.1,1,9.1
vape,9.2,1,9.2
less,385.20000000000005,46,8.373913043478263
warmer,17.4,2,8.7
pecan,65.69999999999999,8,8.212499999999999
shirakawago,9.4,1,9.4
iichiko,9.4,1,9.4
spritz,95.09999999999998,11,8.645454545454543
skewer,435.09999999999985,50,8.701999999999996
pea,250.79999999999998,29,8.648275862068965
wify,7.2,1,7.2
strange,51.300000000000004,6,8.55
bongo,9.1,1,9.1
provei,17.2,2,8.6
hopefully,51.50000000000001,6,8.583333333333334
kudos,17.0,2,8.5
before,70599.70000000132,7748,9.111990191017208
respect,41.7,5,8.34
choi,8.6,1,8.6
ditto,9.4,1,9.4
brunette,35.8,5,7.159999999999999
easter,9.2,1,9.2
piccola,9.1,1,9.1
ounce,14.6,2,7.3
culturecultureculture,9.2,1,9.2
lineup,18.8,2,9.4
belly,874.9000000000001,95,9.209473684210527
fragola,17.2,2,8.6
face,126.1,15,8.406666666666666
rosemary,134.7,16,8.41875
wurld,9.0,1,9.0
favourite,85.60000000000001,10,8.56
half,692.9000000000003,83,8.34819277108434
benders,8.9,1,8.9
shiny,8.6,1,8.6
taleggio,9.1,1,9.1
likely,42.3,5,8.459999999999999
harm,9.4,1,9.4
huevo,26.599999999999998,3,8.866666666666665
lastly,8.1,1,8.1
portabello,9.1,1,9.1
muita,8.1,1,8.1
apparatus,9.0,1,9.0
establish,9.1,1,9.1
yummm,45.699999999999996,5,9.139999999999999
godsend,9.0,1,9.0
dead,41.800000000000004,5,8.360000000000001
cel,9.2,1,9.2
frequently,36.4,4,9.1
boast,24.1,3,8.033333333333333
redken,27.2,4,6.8
worst,326.80000000000007,41,7.970731707317075
tacco,9.1,1,9.1
chx,6.5,1,6.5
poppy,24.299999999999997,3,8.1
log,33.5,4,8.375
tipping,8.2,1,8.2
unit,9.1,1,9.1
extreme,17.3,2,8.65
eod,7.7,1,7.7
ootoya,24.5,3,8.166666666666666
shiso,44.8,5,8.959999999999999
summery,9.4,1,9.4
airdrop,8.8,1,8.8
nachkatzen,9.0,1,9.0
ajak,9.0,1,9.0
shocking,8.1,1,8.1
clouds,6.8,1,6.8
pitch,8.8,1,8.8
family,184.99999999999997,21,8.809523809523808
local,269.8,31,8.703225806451613
consequence,9.2,1,9.2
tis,7.2,1,7.2
stone,27.1,3,9.033333333333333
respite,16.4,2,8.2
unfair,9.1,1,9.1
servido,9.0,1,9.0
provide,79.0,9,8.777777777777779
meld,17.7,2,8.85
escarole,18.2,2,9.1
within,78.7,9,8.744444444444445
chef,770.4000000000005,86,8.958139534883728
gourmet,44.2,5,8.84
velselka,18.2,2,9.1
disappear,28.200000000000003,3,9.4
thinner,18.8,2,9.4
blowing,9.4,1,9.4
hei,9.4,1,9.4
gomez,7.2,1,7.2
argh,7.2,1,7.2
delivery,95.6,11,8.69090909090909
espeso,9.0,1,9.0
sol,9.2,1,9.2
enoki,17.299999999999997,2,8.649999999999999
cranky,9.0,1,9.0
seafood,114.80000000000001,13,8.830769230769231
nausea,9.1,1,9.1
crackly,17.1,2,8.55
inutile,7.8,1,7.8
later,251.09999999999997,29,8.658620689655171
lindt,9.0,1,9.0
staff,2075.5999999999995,247,8.403238866396759
laura,23.6,3,7.866666666666667
lasagna,27.2,3,9.066666666666666
intrigue,9.4,1,9.4
scattered,7.2,1,7.2
chess,9.1,1,9.1
sauce,3212.0999999999926,367,8.752316076294258
artificial,24.1,3,8.033333333333333
thhhiiicckk,8.7,1,8.7
current,31.299999999999997,4,7.824999999999999
gyro,94.8,12,7.8999999999999995
chrun,8.0,1,8.0
pickiest,8.6,1,8.6
experiment,26.900000000000002,3,8.966666666666667
instance,7.2,1,7.2
equally,84.6,10,8.459999999999999
perogie,18.2,2,9.1
nxt,9.0,1,9.0
knicks,7.3,1,7.3
creamery,9.2,1,9.2
haired,7.2,1,7.2
sopa,28.200000000000003,3,9.4
